student_id,ideal_project_id
131,169
132,165
133,110
134,63
135,36
136,36
137,36
138,62
139,169
140,61
141,133
142,17
143,36
144,176
145,36
146,143
147,143
148,176
149,36
150,84
151,9
152,180
153,151
154,169
155,36
156,176
157,36
158,36
159,36
160,183
161,129
162,93
163,165
164,84
165,133
166,133
167,36
168,36
169,36
170,165
171,106
172,103
173,9
174,84
175,17
176,69
177,36
178,22
179,165
180,36
181,169
182,133
183,26
184,133
185,169
186,183
187,36
188,84
189,9
190,107
191,111
192,152
193,81
194,84
195,36
196,103
197,145
198,36
199,194
200,145
201,183
202,110
203,36
204,102
205,183
206,180
207,133
208,31
209,180
210,2
211,176
212,17
213,133
214,20
215,133
216,108
217,161
218,161
219,36
220,176
221,84
222,69
223,22
224,1
225,36
226,36
227,111
228,84
229,111
230,189
231,165
232,114
233,17
234,114
235,151
236,9
237,108
238,133
239,180
240,145
241,133
242,143
243,84
244,133
245,36
246,145
247,34
248,108
249,84
250,165
251,111
252,36
253,84
254,36
255,194
256,2
257,114
258,84
259,22
260,36
261,36
262,145
263,169
264,26
265,133
266,84
267,165
268,36
269,183
270,108
271,9
272,133
273,36
274,165
275,145
276,36
277,20
278,114
279,36
280,84
