project_id,project_name,professor_email,description,tags
10512,Особенности трудоустройства специалистов поколения Z,teacher_1,"Данный проект направлен на исследование специфики выхода на рынок труда молодых специалистов поколения Z. Будут проанализированы основные трудности, ожидания от работодателей и карьерные предпочтения данной группы.","Research, Business Analysis, Analytics"
1107,Разработка бизнес-стратегии,teacher_2,Проект посвящен процессу формирования комплексной бизнес-стратегии для организации. В ходе работы будут рассмотрены ключевые этапы планирования и управления продуктом на рынке.,"Strategy, Product Management, Business Analysis"
3139,Трансмедийный сторителлинг во вселенной Гарри Поттера: от книг и фильмов к сериалу и самостоятельным фанфикшн-вселенным,teacher_3,"Исследование посвящено феномену трансмедийного сторителлинга на примере вселенной, созданной Гарри Поттера. В работе анализируется переход нарратива от оригинальных книг и фильмов к сериалам, а также развитие самостоятельных фанфикшн-направлений.","Research, Analytics, Design"
10438,Роль бренда работодателя в привлечении молодых специалистов,teacher_1,"Работа оценивает влияние HR-бренда компании на успешность найма начинающих специалистов. Исследуются факторы, повышающие привлекательность работодателя в глазах молодежи и стимулирующие их карьерный интерес.","Research, Marketing, Business Analysis"
4791,Образы литературы и искусства в современной рекламе,teacher_4,Проект анализирует использование классических литературных и художественных образов в современных рекламных кампаниях. Изучается влияние таких интеграций на восприятие бренда потребителями и эффективность коммуникации.,"Research, Marketing, Design"
15364,Разработка сервиса для бронирования аудиторий в НИУ ВШЭ – Нижний Новгород,teacher_5,Целью проекта является создание удобного сервиса для управления фондом аудиторий в НИУ ВШЭ – Нижний Новгород. Разрабатываемое решение автоматизирует процесс бронирования помещений для преподавателей и студентов.,"Web Development, Backend, Frontend, Product Management"
4857,Алгоритмы для задач целочисленного программирования,teacher_6,Проект направлен на изучение и разработку алгоритмических решений для задач целочисленного линейного программирования. Будут рассмотрены различные подходы к оптимизации вычислений и их практическое применение в аналитике.,"Research, Data Science, Analytics"
25089,Методология оценки качества алгоритмов для решения задачи поиска текстовой информации с использованием LLM,teacher_7,В рамках проекта разрабатывается методология для тестирования и оценки алгоритмов информационного поиска на базе больших языковых моделей (LLM). Особое внимание уделяется метрикам качества работы моделей с текстовыми данными.,"Research, NLP, Machine Learning, Data Science"
3185,Финансовый анализ показателей деятельности конкурентов,teacher_8,Данная работа сфокусирована на проведении глубокого финансового анализа конкурентной среды. Студенты изучат ключевые экономические показатели конкурентов для формирования обоснованных бизнес-выводов.,"Finance, Economics, Analytics, Business Analysis"
8001,Влияние ИИ-агентов на бизнес-процессы компании,teacher_9,Исследование рассматривает трансформацию корпоративных бизнес-процессов под воздействием искусственного интеллекта. Оценивается потенциал внедрения ИИ-агентов для повышения операционной эффективности компании.,"Research, Business Analysis, Machine Learning, Strategy"
8050,Исследование взаимосвязи мотивации персонала и эффективности работы сотрудников,teacher_10,"Проект посвящен изучению того, как различные системы мотивации влияют на производительность труда. Будут проанализированы факторы, способствующие повышению эффективности работы персонала.","Research, Business Analysis, Analytics"
13817,Соотношение свободы завещания и права на обязательную долю в наследстве,teacher_11,"Работа анализирует юридические аспекты наследственного права, балансируя между свободой волеизъявления наследодателя и защитой прав обязательных наследников. Рассматривается правоприменительная практика по данным спорам.","Legal Tech, Research"
2734,Ментальное здоровье молодежи как предмет политики по охране здоровья,teacher_12,Проект исследует вопросы психического благополучия молодого поколения в контексте государственной политики. Анализируются существующие меры по охране здоровья и возможные пути их институционального улучшения.,"Research, Education, Strategy"
