scenario_id,student_id,rank,project_id
base,131,1,27
base,131,2,37
base,131,3,32
base,131,4,26
base,131,5,12
base,132,1,178
base,132,2,10
base,132,3,9
base,132,4,18
base,132,5,73
base,133,1,10
base,133,2,2
base,133,3,19
base,133,4,9
base,133,5,22
base,134,1,196
base,134,2,27
base,134,3,34
base,134,4,10
base,134,5,142
base,135,1,1
base,135,2,19
base,135,3,27
base,135,4,165
base,135,5,3
base,136,1,37
base,136,2,36
base,136,3,11
base,136,4,31
base,136,5,19
base,137,1,12
base,137,2,31
base,137,3,36
base,137,4,20
base,137,5,37
base,138,1,20
base,138,2,1
base,138,3,19
base,138,4,151
base,138,5,17
base,139,1,2
base,139,2,11
base,139,3,19
base,139,4,169
base,139,5,48
base,140,1,36
base,140,2,11
base,140,3,50
base,140,4,22
base,140,5,3
base,141,1,199
base,141,2,76
base,141,3,133
base,141,4,15
base,141,5,31
base,142,1,199
base,142,2,1
base,142,3,31
base,142,4,12
base,142,5,2
base,143,1,17
base,143,2,27
base,143,3,34
base,143,4,83
base,143,5,15
base,144,1,69
base,144,2,106
base,144,3,3
base,144,4,18
base,144,5,133
base,145,1,10
base,145,2,15
base,145,3,27
base,145,4,19
base,145,5,31
base,146,1,66
base,146,2,34
base,146,3,174
base,146,4,1
base,146,5,18
base,147,1,92
base,147,2,171
base,147,3,178
base,147,4,107
base,147,5,37
base,148,1,12
base,148,2,26
base,148,3,37
base,148,4,19
base,148,5,3
base,149,1,36
base,149,2,32
base,149,3,1
base,149,4,31
base,149,5,3
base,150,1,10
base,150,2,32
base,150,3,9
base,150,4,17
base,150,5,20
base,151,1,20
base,151,2,26
base,151,3,31
base,151,4,81
base,151,5,57
base,152,1,17
base,152,2,11
base,152,3,15
base,152,4,36
base,152,5,31
base,153,1,11
base,153,2,196
base,153,3,1
base,153,4,132
base,153,5,159
base,154,1,2
base,154,2,32
base,154,3,9
base,154,4,17
base,154,5,27
base,155,1,3
base,155,2,37
base,155,3,17
base,155,4,12
base,155,5,106
base,156,1,27
base,156,2,37
base,156,3,17
base,156,4,1
base,156,5,2
base,157,1,175
base,157,2,9
base,157,3,11
base,157,4,12
