scenario_id,student_id,rank,project_id
base,131,1,27
base,131,2,37
base,131,3,32
base,131,4,26
base,131,5,12
base,131,6,10
base,131,7,61
base,131,8,22
base,131,9,20
base,131,10,2
base,131,11,9
base,131,12,1
base,131,13,18
base,131,14,3
base,131,15,113
base,131,16,36
base,131,17,17
base,131,18,143
base,131,19,180
base,131,20,15
base,132,1,178
base,132,2,10
base,132,3,9
base,132,4,18
base,132,5,73
base,132,6,3
base,132,7,2
base,132,8,22
base,132,9,69
base,132,10,11
base,132,11,142
base,132,12,12
base,132,13,34
base,132,14,144
base,132,15,17
base,132,16,27
base,132,17,194
base,132,18,36
base,132,19,180
base,132,20,1
base,133,1,10
base,133,2,2
base,133,3,19
base,133,4,9
base,133,5,22
base,133,6,32
base,133,7,18
base,133,8,20
base,133,9,36
base,133,10,31
base,133,11,34
base,133,12,26
base,133,13,17
base,133,14,199
base,133,15,118
base,133,16,191
base,133,17,3
base,133,18,69
base,133,19,15
base,133,20,11
base,134,1,196
base,134,2,27
base,134,3,34
base,134,4,10
base,134,5,142
base,134,6,12
base,134,7,15
base,134,8,37
base,134,9,32
base,134,10,19
base,134,11,26
base,134,12,73
base,134,13,169
base,134,14,3
base,134,15,36
base,134,16,20
base,134,17,132
base,134,18,31
base,134,19,9
base,134,20,18
base,135,1,1
base,135,2,19
base,135,3,27
base,135,4,165
base,135,5,3
base,135,6,15
base,135,7,175
base,135,8,34
base,135,9,2
base,135,10,37
base,135,11,18
base,135,12,36
base,135,13,51
base,135,14,31
base,135,15,22
base,135,16,20
base,135,17,193
base,135,18,12
base,135,19,144
base,135,20,111
base,136,1,37
base,136,2,36
base,136,3,11
base,136,4,31
base,136,5,19
base,136,6,27
base,136,7,18
base,136,8,17
base,136,9,20
base,136,10,80
base,136,11,61
base,136,12,32
base,136,13,1
base,136,14,15
base,136,15,183
base,136,16,104
base,136,17,9
base,136,18,102
base,136,19,84
base,136,20,22
base,137,1,12
base,137,2,31
base,137,3,36
base,137,4,20
base,137,5,37
base,137,6,32
base,137,7,2
base,137,8,63
base,137,9,165
base,137,10,48
base,137,11,9
base,137,12,22
base,137,13,112
base,137,14,59
